"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1883886828832596084","Mon Jan 27 14:36:35 +0000 2025","1","#konteksnews - Setelah melalui proses panjang gugatan Keraton Yogyakarta terhadap PT KAI terkait lahan Stasiun Tugu Tesmi akhirnya mencapai titik damai. #DamaiUntukYogyakarta #KeratonYogyakarta #PTKAI #KeratonYogyakarta #PTKAI #TuguTesmi #LahanStasiunTugu #Damai #Kolaborasi https://t.co/V2HQnoPuiy","1883886828832596084","https://pbs.twimg.com/ext_tw_video_thumb/1883886408479453184/pu/img/zPRwJ-FxUqHvI9F4.jpg","","in","DKI Jakarta","1","0","1","https://x.com/kontekscoid/status/1883886828832596084","1565270466238902274","kontekscoid"
"1883532059832197421","Sun Jan 26 15:06:52 +0000 2025","0","Digas no ke jalur selatan @jalur5_ #gubugkarangjati #jalurutara #ptkai https://t.co/nn46BNzvWS","1883532059832197421","","","in","ÜT: -6.9177,107.66041","0","0","0","https://x.com/gencarezekina/status/1883532059832197421","97397117","gencarezekina"
"421453633029279745","Sat Jan 25 01:51:45 +0000 2025","0","@KAI121 @PTKAI Salut PT KAI sekarang jauh lebih nyaman dibanding 10 thn lalu tidak manusiawi. Tapi serem amat tiap 5 menit diumumkan hati2 pelecehan seksual. Seolah isinya bajingan semua dan securitynya tulalit semua ga bisa kasih rasa nyaman dikit itu toa","1882969576864157784","","KAI121","in","","0","0","0","https://x.com/AubreyUsro7816/status/1882969576864157784","1871645173316456448","AubreyUsro7816"
"1882613395532468287","Fri Jan 24 02:16:25 +0000 2025","0","Mengucapkan Selamat Ulang tahun ke 1 KA Papandayan 24 Januari 2024 - 24 Januari 2025 #ptkai #dirgahayu","1882613395532468287","","","in","","0","0","0","https://x.com/jurnalgiat1978/status/1882613395532468287","1840217703866609664","jurnalgiat1978"
"1882433885998661750","Thu Jan 23 14:23:07 +0000 2025","0","Simak 7 Langkah PT KAI dalam Memperbaiki Jalur Pascabanjir di Grobogan @KAI121 @erickthohir @KemenBUMN https://t.co/D9bWtkXmKX #grobogan #kabargrobogan #ptkai #kabarterdepan","1882433885998661750","","","in","Mojokerto, Jawa Timur","0","0","1","https://x.com/kabarterdepanID/status/1882433885998661750","283305745","kabarterdepanID"
"1882337755390439693","Thu Jan 23 08:02:23 +0000 2025","0","[5-end] panjang selalu terjadi kenaikan jumlah penumpang kereta api karena tingginya antusias dari masyarakat. [april] #PatriaNews #InfoPatria #RadioPatria #Blitar #PTKAI #KAI #Daop7Madiun #StasiunBlitar #StasiunJombang #KeretaApi #TiketKA #KAIAccess #LiburIsraMiraj #LiburImlek","1882338071871672402","","radiopatria","in","Blitar - East Java - Indonesia","0","0","0","https://x.com/radiopatria/status/1882338071871672402","100132119","radiopatria"
"1882307274082820505","Thu Jan 23 06:00:00 +0000 2025","0","Nggak mau bye-bye PT KAI bakal menghentikan layanan Kereta Api (KA) legendaris Argo Parahyangan. Sebagai gantinya KAI menyiapkan KA Parahyangan yang lebih terjangkau. #argoparahyangan #KAI #PTKAI #keretaapi #bandung #jakarta #detikfinance https://t.co/8lXffCHOW7","1882307274082820505","https://pbs.twimg.com/ext_tw_video_thumb/1882125957567488000/pu/img/JquoWYxidW844er_.jpg","","in","Jakarta, Indonesia","0","0","0","https://x.com/detikfinance/status/1882307274082820505","135795460","detikfinance"
"1882302764208083325","Thu Jan 23 05:42:05 +0000 2025","0","stasiun KA Malang sdh bagus. cuma sayang pengumuman dari pengeras suara tidak jelas...sayang sekali speakernya spt ini tolong di perbaiki kualitas suaranya @PTKAI @infomalang @cityguide911fm @yusufgunawan https://t.co/jAH44nRlnM","1882302764208083325","https://pbs.twimg.com/media/Gh9IYjZa0AAgSzB.jpg","","in","Indonesia","0","2","1","https://x.com/andrewbudi/status/1882302764208083325","49261996","andrewbudi"
"1881874619898179931","Wed Jan 22 01:21:38 +0000 2025","0","[5] Daop 7 Madiun. Kondisi ini menyebabkan adanya tambahan frekuensi operasional KA di luar jadwal reguler. [april] #PatriaNews #InfoPatria #RadioPatria #Blitar #Semarang #Surabaya #PTKAI #KAI #Daop7Madiun #StasiunBlitar #StasiunGubug #StasiunKarangjati #KeretaApi #PerjalananKA","1881874833451168240","","radiopatria","in","Blitar - East Java - Indonesia","0","1","0","https://x.com/radiopatria/status/1881874833451168240","100132119","radiopatria"
"1881672769081114975","Tue Jan 21 14:01:50 +0000 2025","0","@YourAnonVD @PTKAI @PTKAIIndonesia Ciuuus...","1881703757513420880","","YourAnonVD","in","","0","0","0","https://x.com/GarudaHitam75/status/1881703757513420880","1857557136559190020","GarudaHitam75"
"1881672769081114975","Tue Jan 21 11:58:42 +0000 2025","1","Buat @mentriperhubungan @PTKAI @PTKAIIndonesia","1881672769081114975","","","in","","0","1","0","https://x.com/GarudaHitam75/status/1881672769081114975","1857557136559190020","GarudaHitam75"
